,matchId,playerId,interveningOpponents,interveningTeammates,minute,second,outcome,converted_seconds,distance,angle,angle_degrees,interferenceOnShooter_encoded,bodyPart_head,bodyPart_left foot,bodyPart_other,bodyPart_right foot,playType_free kick,playType_olimpico,playType_open play,playType_penalty
153,m_182,p_48,3,0,9.0,37,missed chance,1.0,25.7535123818092,0.550408512720526,31.536084786958828,2.0,False,False,False,True,False,False,True,False
154,m_164,p_114,3,0,83.0,7,missed chance,1.0,26.036783595521165,-0.6357427762124621,-36.42537793290407,3.0,False,True,False,False,False,False,True,False
155,m_205,p_132,2,0,81.0,13,missed chance,1.0,12.22255701561666,0.020455411650721712,1.1720087557890866,2.0,False,False,False,True,False,False,True,False
156,m_81,p_82,2,0,13.0,19,blocked shot,1.0,17.372645164165416,0.6119520318687854,35.062268690536655,3.0,False,True,False,False,False,False,True,False
157,m_213,p_30,2,0,14.0,30,saved by keeper,1.0,26.659426100349574,-0.131287373140629,-7.522212384317245,2.0,False,True,False,False,False,False,True,False
158,m_6,p_12,5,3,45.0,26,saved by keeper,1.0,26.330153816489567,0.493375467138237,28.26833198231642,1.0,False,False,False,True,False,False,True,False
159,m_148,p_132,5,2,52.0,23,missed chance,1.0,28.231459402588452,-0.3330640629417545,-19.08316511404214,1.0,False,True,False,False,False,False,True,False
160,m_63,p_89,1,0,25.0,57,missed chance,1.0,8.956165474130097,-0.22520875817298477,-12.903511352694412,2.0,True,False,False,False,False,False,True,False
161,m_55,p_11,2,0,62.0,45,blocked shot,1.0,6.781622224807277,0.29936623405735197,17.152421740211835,2.0,False,False,True,False,False,False,True,False
162,m_89,p_27,3,0,9.0,24,blocked shot,1.0,25.37925333811064,-0.39345750426876436,-22.54345441235077,2.0,False,True,False,False,False,False,True,False
163,m_111,p_18,3,0,6.0,41,missed chance,1.0,33.3194237645251,0.5340370462736532,30.598068855112977,2.0,False,True,False,False,False,False,True,False
164,m_222,p_119,2,0,49.0,23,missed chance,1.0,18.16780669205835,0.15139388881379912,8.674230873103534,1.0,False,True,False,False,False,False,True,False
165,m_178,p_119,3,0,12.0,10,saved by keeper,1.0,19.509228585466932,0.9580547440720815,54.89249337781649,2.0,False,False,False,True,False,False,True,False
166,m_48,p_133,2,0,13.0,41,missed chance,1.0,30.289326502911877,0.39730533626308717,22.763918945900873,2.0,False,False,False,True,False,False,True,False
